"a","b"
2162.88312,15.689
2171.84576,15.555
2171.87139,15.558
2183.80511,15.633
2183.83081,15.643
2184.80467,15.583
2184.8303,15.572
2188.85523,15.538
2191.7654,15.676
2191.80118,15.68
2200.78705,15.55
2200.81193,15.557
2206.72217,15.579
2206.74808,15.603
2216.84629,15.662
2223.71094,15.532
2223.73521,15.527
2226.68707,15.7
2226.7108,15.706
2228.73083,15.696
2228.75449,15.691
2230.64239,15.706
2230.66626,15.687
2232.68802,15.684
2234.65691,15.678
2234.68111,15.677
2238.60138,15.654
2238.6257,15.641
2240.7279,15.587
2240.76077,15.595
2242.76262,15.586
2244.78956,15.546
2244.8134,15.561
2249.65783,15.682
2249.68161,15.682
2251.83149,15.71
2251.8552,15.711
2253.64569,15.685
2253.67172,15.704
2256.65032,15.536
2256.67683,15.567
2259.64485,15.679
2259.66873,15.699
2262.65002,15.574
2262.67399,15.577
2264.63372,15.585
2269.73516,15.577
2272.61593,15.628
2273.63029,15.578
2276.62669,15.66
2277.69593,15.539
2279.62117,15.532
2279.71122,15.534
2281.66859,15.537
2281.70332,15.54
2283.70423,15.544
2283.72907,15.569
2288.68973,15.682
2288.71765,15.675
2290.72763,15.639
2290.7524,15.643
2292.69773,15.636
2292.72724,15.64
2294.66831,15.623
2294.69486,15.607
2296.68725,15.586
2296.71645,15.597
2298.67256,15.588
2298.70882,15.57
2300.66048,15.565
2300.68459,15.569
2302.63407,15.551
2302.66045,15.548
2304.63874,15.543
2304.67642,15.53
2315.56204,15.717
2316.53588,15.563
2322.5327,15.603
2322.57726,15.602
2325.55316,15.623
2325.5811,15.607
2330.56189,15.668
2331.5202,15.575
2337.51366,15.547
2337.54277,15.543
2343.50969,15.561
2345.50254,15.572
2350.50459,15.653
2353.50388,15.624
2365.52134,15.721
2370.50858,15.556
2518.91309,15.535
2519.89774,15.703
2526.84276,15.558
2526.87601,15.565
2540.85098,15.654
2541.8703,15.553
2544.77112,15.685
2544.79707,15.673
2550.88899,15.695
2551.79702,15.536
2554.85432,15.689
2554.88946,15.705
2558.86541,15.642
2558.8911,15.645
2562.88626,15.595
2563.77892,15.614
2571.81184,15.677
2571.83608,15.686
2577.75048,15.684
2577.77458,15.71
2580.77929,15.542
2580.80333,15.567
2588.81606,15.603
2588.84214,15.619
2593.80519,15.574
2594.71964,15.642
2599.72508,15.541
2599.75082,15.546
2607.68331,15.548
2607.71533,15.554
2617.67272,15.593
2617.70704,15.614
2620.61625,15.64
2620.67179,15.626
2622.792,15.565
2622.81824,15.575
2624.78668,15.565
2624.81195,15.556
2626.60018,15.585
2628.59715,15.57
2629.59682,15.69
2631.59635,15.686
2631.78064,15.72
2634.55103,15.546
2634.57504,15.542
2637.58889,15.697
2640.62853,15.565
2640.65924,15.572
2642.62675,15.571
2642.65142,15.583
2644.61696,15.585
2644.64685,15.597
2646.63593,15.599
2649.63996,15.613
2650.60216,15.624
2651.68878,15.576
2652.61441,15.639
2654.64096,15.677
2654.72271,15.672
2656.71596,15.695
2657.66979,15.549
2658.70577,15.698
2659.74698,15.545
2661.72109,15.551
2661.74623,15.551
2663.62475,15.546
2663.67309,15.537
2665.64985,15.55
2665.71635,15.57
2667.61522,15.561
2667.64294,15.581
2669.65735,15.584
2671.58449,15.571
2671.61522,15.584
2673.59273,15.599
2673.61903,15.601
2675.59229,15.611
2675.61635,15.622
2677.59014,15.613
2677.61425,15.624
2679.61701,15.644
2679.67746,15.649
2681.63825,15.669
2681.66385,15.671
2685.57788,15.683
2685.61083,15.69
2690.53209,15.558
2690.56451,15.537
2694.52984,15.545
2694.55534,15.549
2698.59165,15.586
2699.54403,15.705
2704.57415,15.621
2705.52829,15.63
2711.52936,15.584
2711.55493,15.562
2731.48336,15.586
2732.48606,15.667
2872.8599,15.677
2872.88521,15.695
2879.87627,15.577
2883.87339,15.594
2884.82219,15.665
2886.84206,15.652
2888.85489,15.608
2892.8386,15.578
2893.84631,15.649
2896.81306,15.547
2897.80794,15.675
2903.8539,15.709
2905.89029,15.714
2906.80261,15.563
2910.77569,15.577
2910.8008,15.578
2915.77972,15.636
2915.80619,15.633
2921.78156,15.566
2921.80839,15.554
2924.8713,15.687
2925.7517,15.553
2929.77965,15.545
2929.86902,15.539
2932.83715,15.7
2932.86265,15.708
2939.74149,15.568
2941.81315,15.617
2942.7197,15.659
2943.68833,15.596
2946.7151,15.613
2946.74026,15.601
2949.69812,15.642
2949.72384,15.641
2952.68969,15.572
2952.71493,15.565
2955.75138,15.692
2955.77651,15.707
2957.68392,15.692
2957.70916,15.694
2960.70482,15.542
2960.7346,15.571
2960.83134,15.56
2963.69156,15.713
2963.71689,15.701
2966.65707,15.561
2966.6838,15.581
2968.8201,15.603
2968.84756,15.626
2971.82741,15.593
2972.68345,15.604
2975.62573,15.617
2975.65692,15.622
2977.72765,15.567
2979.75389,15.559
2979.77969,15.558
2983.66158,15.55
2983.68782,15.544
2985.84264,15.539
2986.6701,15.712
2988.60558,15.69
2988.63565,15.706
2990.76561,15.697
2990.79771,15.692
2992.61567,15.693
2994.72409,15.686
2994.74931,15.67
2996.62471,15.692
2997.60701,15.57
2998.60681,15.696
2999.6266,15.584
3000.62493,15.66
3001.60453,15.6
3002.60961,15.642
3003.63352,15.624
3004.61247,15.609
3005.66291,15.653
3006.66151,15.567
3007.61553,15.656
3008.61256,15.587
3009.61332,15.663
3010.63278,15.551
3011.64552,15.679
3012.72818,15.537
3013.62103,15.676
3016.6215,15.537
3016.64677,15.538
3018.60663,15.55
3018.63219,15.557
3020.64777,15.545
3020.67321,15.571
3022.67976,15.582
3022.73879,15.587
3024.66178,15.588
3024.68714,15.606
3026.63085,15.595
3026.65618,15.587
3028.63626,15.614
3028.66169,15.611
3030.67153,15.636
3030.69704,15.634
3032.7753,15.662
3033.61747,15.571
3034.82482,15.684
3035.62523,15.556
3037.60242,15.559
3038.60617,15.68
3040.57797,15.693
3041.53175,15.541
3043.56117,15.541
3045.57488,15.542
3045.60029,15.523
3047.52671,15.553
3047.55473,15.538
3049.53221,15.55
3049.55929,15.55
3051.52578,15.554
3051.5519,15.553
3053.51831,15.583
3053.54823,15.58
3055.52043,15.587
3055.54691,15.591
3057.51646,15.605
3057.54612,15.609
3059.51901,15.623
3059.54472,15.619
3060.51261,15.618
3061.51371,15.626
3061.53893,15.624
3064.51659,15.595
3064.56184,15.573
3067.52373,15.679
3067.54972,15.678
3069.50803,15.689
3069.53465,15.69
3071.66967,15.701
3072.5329,15.539
3075.50769,15.708
3075.53349,15.714
3077.59288,15.701
3077.61817,15.695
3081.58409,15.676
3081.60963,15.654
3083.59118,15.647
3084.51648,15.588
3086.52704,15.626
3086.55441,15.619
3089.51439,15.589
3089.54024,15.583
3092.49703,15.657
3092.52428,15.676
3098.49405,15.689
3098.52164,15.689
3101.49032,15.546
3101.51555,15.536
3103.48713,15.539
3104.487,15.706
3108.48404,15.685
3109.48923,15.574
3112.47936,15.65
3113.47728,15.607
3115.50607,15.623
3123.48489,15.68
3123.51016,15.695
3132.48099,15.56
3133.48374,15.73
3230.85738,15.538
3230.88284,15.546
3238.86641,15.61
3246.87325,15.646
3246.89827,15.671
3251.90407,15.531
3254.86096,15.697
3254.88641,15.689
3261.89387,15.574
3262.86101,15.676
3268.78425,15.644
3272.87359,15.567
3272.89888,15.555
3275.87242,15.683
3275.89766,15.665
3280.87197,15.527
3280.89722,15.546
3283.81225,15.7
3283.83901,15.695
3289.72525,15.708
3289.75253,15.689
3294.73193,15.587
3294.75711,15.592
3296.68035,15.593
3296.7065,15.586
3298.76072,15.63
3298.78659,15.629
3300.81733,15.637
3303.72467,15.57
3303.74979,15.565
3306.72613,15.674
3306.75124,15.67
3308.74273,15.686
3308.768,15.681
3310.77521,15.707
3310.80034,15.698
3314.69642,15.712
3314.72168,15.698
3321.617,15.548
3321.64217,15.571
3325.70392,15.6
3328.82622,15.573
3329.73659,15.63
3334.63276,15.558
3335.83023,15.688
3336.69446,15.549
3338.68621,15.528
3340.8157,15.538
3349.63847,15.699
3349.66359,15.676
3353.63127,15.646
3355.70346,15.596
3356.62498,15.612
3359.62383,15.577
3360.63816,15.654
3366.68658,15.691
3369.65682,15.54
3377.6178,15.569
3377.64313,15.565
3379.75036,15.611
3381.61632,15.593
3386.62818,15.583
3386.65342,15.578
3390.63116,15.56
3390.7626,15.534
3398.60866,15.545
3398.63978,15.542
3400.59412,15.564
3400.61947,15.543
3403.60287,15.719
3403.62898,15.687
3406.53237,15.568
3406.56283,15.563
3406.61645,15.582
3410.55597,15.603
3410.58103,15.594
3415.5319,15.601
3415.60328,15.563
3421.60135,15.542
3429.55258,15.553
3429.5808,15.54
3434.54145,15.689
3434.57015,15.66
3442.51321,15.606
3444.50657,15.575
3450.51498,15.537
3450.54043,15.522
3570.92383,15.632
3591.91721,15.598
3592.87702,15.632
3608.88388,15.537
3608.90969,15.535
3614.86672,15.567
3615.90345,15.682
3621.89922,15.601
3628.87868,15.682
3628.90361,15.657
3633.77629,15.533
3638.80552,15.712
3639.75542,15.536
3641.74932,15.546
3641.77561,15.544
3646.81036,15.66
3646.83531,15.64
3652.86211,15.591
3653.77334,15.607
3656.80067,15.578
3656.82573,15.544
3661.73607,15.694
3661.76119,15.695
3665.73945,15.71
3665.76441,15.702
3671.70534,15.712
3671.73045,15.694
3674.82747,15.604
3674.85261,15.609
3683.74332,15.584
3683.76843,15.585
3686.7894,15.675
3686.81632,15.685
3689.70629,15.558
3689.73127,15.552
3692.62791,15.7
3692.65435,15.664
3695.69339,15.544
3695.71836,15.549
3698.64559,15.718
3698.67606,15.7
3700.69048,15.695
3700.71548,15.676
3702.77666,15.668
3702.80301,15.632
3705.68243,15.608
3705.70981,15.596
3707.65016,15.615
3707.68483,15.601
3712.84011,15.564
3713.6217,15.65
3715.83793,15.709
3716.65888,15.562
3718.63961,15.55
3720.64162,15.541
3721.62282,15.709
3724.67328,15.552
3725.68997,15.715
3727.60813,15.712
3727.63435,15.725
3731.60974,15.694
3731.66471,15.68
3736.62037,15.633
3736.64552,15.62
3739.59497,15.608
3739.64892,15.602
3741.66389,15.593
3742.64559,15.676
3745.59466,15.562
3745.73431,15.544
3747.70778,15.556
3748.59463,15.723
3749.59049,15.558
3750.6205,15.709
3751.69465,15.555
3752.5751,15.715
3754.55642,15.722
3755.58694,15.57
3756.72258,15.687
3758.59097,15.712
3758.64668,15.696
3760.72642,15.646
3761.694,15.624
3762.60361,15.668
3764.67112,15.607
3766.58515,15.613
3769.58614,15.656
3769.66946,15.672
3772.61066,15.558
3772.63735,15.56
3775.58199,15.7
3775.60851,15.707
3778.58268,15.553
3778.60772,15.548
3781.59369,15.716
3781.62103,15.704
3785.56625,15.714
3785.59138,15.717
3790.53504,15.607
3790.56012,15.62
3796.5755,15.654
3797.53981,15.592
3804.51121,15.713
3804.53625,15.72
3816.51637,15.688
3817.50306,15.614
3934.94248,15.546
3935.93666,15.71
3960.8608,15.706
3960.88588,15.704
3967.89025,15.575
3973.88569,15.609
3973.91123,15.618
3979.83517,15.635
3979.89707,15.678
3987.81587,15.698
3987.84181,15.711
3994.8685,15.56
3994.89684,15.571
4001.74816,15.672
4001.80473,15.665
4004.75088,15.607
4004.77547,15.628
4007.70809,15.602
4008.7059,15.633
4009.78127,15.583
4011.86905,15.543
4014.75598,15.68
4016.81899,15.704
4016.87764,15.719
4021.82441,15.555
4021.85078,15.566
4025.83634,15.589
4025.86116,15.595
4028.7463,15.683
4028.771,15.671
4030.81803,15.619
4030.84516,15.612
4036.87684,15.54
4037.74222,15.638
4040.71257,15.551
4040.73723,15.555
4042.72888,15.542
4042.75344,15.544
4045.82825,15.709
4045.85504,15.727
4048.69192,15.549
4048.71684,15.56
4051.65962,15.696
4053.73414,15.703
4053.75876,15.69
4055.68392,15.698
4055.70855,15.711
4057.66275,15.684
4057.68743,15.673
4060.59764,15.609
4060.62651,15.606
4065.61925,15.596
4065.64461,15.588
4067.61013,15.573
4068.63495,15.661
4069.59985,15.565
4070.6314,15.676
4072.63778,15.675
4073.79077,15.554
4077.64414,15.552
4077.6699,15.571
4080.62603,15.726
4080.65415,15.693
4084.65772,15.672
4084.68376,15.672
4092.73446,15.569
4100.79475,15.544
4100.82052,15.547
4104.69952,15.555
4107.63713,15.716
4107.66186,15.698
4117.60263,15.633
4117.62739,15.619
4121.60356,15.605
4121.62844,15.577
4123.58031,15.577
4123.69911,15.549
4125.69167,15.536
4126.60014,15.679
4129.66414,15.54
4129.68894,15.54
4144.53544,15.663
4146.54157,15.653
4153.51894,15.653
4153.54407,15.668
4160.58497,15.543
4164.52384,15.559
4174.55198,15.622
4192.50295,15.723
4310.9414,15.534
4316.93326,15.553
4345.82577,15.548
4345.85045,15.536
4349.88685,15.572
4350.8037,15.701
4355.80089,15.599
4355.82569,15.623
4361.78669,15.643
4362.75458,15.595
4364.77047,15.564
4365.7672,15.679
4368.87016,15.533
4369.76265,15.696
4371.73367,15.692
4373.73815,15.726
4376.75296,15.551
4376.77766,15.57
4378.90027,15.587
4379.7587,15.692
4379.78325,15.697
4383.76355,15.64
4383.78832,15.646
4387.85848,15.57
4391.86417,15.537
4392.72472,15.668
4397.73586,15.518
4397.7617,15.541
4402.81446,15.692
4402.83919,15.72
4406.76473,15.691
4406.78938,15.707
4409.83386,15.597
4409.86189,15.621
4416.70108,15.596
4416.81663,15.581
4420.81363,15.543
4420.83832,15.551
4424.8333,15.542
4425.83444,15.712
4428.80131,15.546
4428.8577,15.587
4431.71158,15.717
4431.7366,15.702
4435.70156,15.69
4435.73131,15.692
4438.83047,15.621
4439.7552,15.637
4441.80458,15.603
4441.83559,15.598
4444.6471,15.632
4444.67187,15.644
4450.66077,15.669
4450.68763,15.685
4453.64421,15.543
4453.67023,15.541
4456.64821,15.702
4458.63265,15.704
4458.6577,15.712
4462.64729,15.703
4463.67006,15.576
4466.65975,15.686
4467.62935,15.601
4469.64089,15.62
4471.61776,15.624
4473.59551,15.644
4474.80186,15.552
4477.68259,15.683
4478.65702,15.551
4479.66399,15.695
4482.6818,15.533
4483.66412,15.711
4485.66354,15.711
4486.66292,15.553
4487.66046,15.716
4489.68078,15.694
4492.72246,15.606
4493.64039,15.686
4497.65367,15.626
4498.59779,15.624
4499.67608,15.586
4500.70523,15.645
4502.59503,15.649
4502.64239,15.67
4507.5665,15.561
4507.5946,15.559
4509.56408,15.566
4509.58769,15.574
4515.53001,15.559
4515.55851,15.57
4520.51883,15.703
4520.55064,15.709
4523.54243,15.599
4523.56921,15.614
4525.51461,15.611
4525.57015,15.618
4531.51169,15.653
4531.53645,15.658
4534.50748,15.574
4537.50552,15.691
4538.57866,15.553
4540.50409,15.546
4540.52904,15.592
